scope,scene_id,cluster_id,profile,method,si_sdr_db,spectral_error_db,coherence,ild_error_db,ic_error
all_scenes,,,strict,linear_default,15.346782409644845,,,2.686179126992846,0.09686663193895205
all_scenes,,,strict,linear_tuned,17.13742506486808,,,2.6835959623428183,0.09654333490164145
all_scenes,,,strict,linear_noise,17.12331545044003,,,2.6851573319412574,0.09607989015306509
all_scenes,,,strict,adeps_current,5.701979576631415,14.753031314723435,0.1428575765966988,3.968559693023201,0.27037128476752337
all_scenes,,,strict,adeps_tuned,11.372246258966777,14.190338107543925,0.22562897892894251,3.411990862214025,0.22734274614586533
all_scenes,,,strict,spatial_only,21.964510515125085,,,0.7634713444304094,0.06802574804849171
all_scenes,,,strict,consistency_only,19.844877899698716,7.101181320210947,0.6463729007761149,2.5168160458403186,0.09872356896843221
all_scenes,,,strict,plus,25.288683705241993,4.530451309682774,0.7814585118100772,0.801401151216893,0.06346317714179703
all_scenes,,,strict,plus_no_denoiser,25.514817227003824,4.103978975023847,0.798128127480439,0.7401609494598472,0.06348798568222547
single_scene,plus-test-0000,speaker-pair-0,strict,linear_default,10.202216793078396,,,2.3724907257253007,0.08791686126086928
single_scene,plus-test-0000,speaker-pair-0,strict,linear_tuned,11.144184442134236,,,2.3778255250132156,0.08777276400264053
single_scene,plus-test-0000,speaker-pair-0,strict,linear_noise,11.139006876015873,,,2.374763084016597,0.08764220328862511
single_scene,plus-test-0000,speaker-pair-0,strict,adeps_current,2.9081414481177483,13.064252507933553,0.16896446389672154,1.9220266108086839,0.28585993918544694
single_scene,plus-test-0000,speaker-pair-0,strict,adeps_tuned,6.976535188131308,12.238194814053207,0.265423247469865,1.5632263512517866,0.26493931657569914
single_scene,plus-test-0000,speaker-pair-0,strict,spatial_only,18.21925631992901,3.589654615695578,0.8425397570338822,0.605115261776794,0.03912658766368533
single_scene,plus-test-0000,speaker-pair-0,strict,consistency_only,12.501929228067915,7.24211357985178,0.7333361977449572,2.3691232088181238,0.1105765204345007
single_scene,plus-test-0000,speaker-pair-0,strict,plus,20.081985943613162,3.9274713417025957,0.8326178551724271,0.8113832582818044,0.034492974521352034
single_scene,plus-test-0000,speaker-pair-0,strict,plus_no_denoiser,20.312347482141746,3.475613375595168,0.8443236448699075,0.620881641972504,0.03977746696654414
single_scene,plus-test-0001,speaker-pair-0,strict,linear_default,19.385569554668045,,,2.5922836957476787,0.09675224599868594
single_scene,plus-test-0001,speaker-pair-0,strict,linear_tuned,19.687953149814355,,,2.5857517039469355,0.09658856407592892
single_scene,plus-test-0001,speaker-pair-0,strict,linear_noise,19.6693896596355,,,2.5832063303112784,0.08755519898128357
single_scene,plus-test-0001,speaker-pair-0,strict,adeps_current,6.805318308710792,17.897854383975325,0.11665521891216457,2.4791769834000865,0.33153318233196616
single_scene,plus-test-0001,speaker-pair-0,strict,adeps_tuned,12.483686194702523,17.27961103818345,0.20767126216657536,2.307935162240761,0.29227025115768146
single_scene,plus-test-0001,speaker-pair-0,strict,spatial_only,30.651817446997097,3.2247639531902426,0.830074650149344,1.003733162110306,0.06850597365858868
single_scene,plus-test-0001,speaker-pair-0,strict,consistency_only,20.10895739497295,6.507556113945905,0.6424507531276001,2.1614228065122143,0.09606741090829365
single_scene,plus-test-0001,speaker-pair-0,strict,plus,30.955668393510265,3.691124440134295,0.7787946380041493,0.697105763250053,0.06410065872601008
single_scene,plus-test-0001,speaker-pair-0,strict,plus_no_denoiser,31.447626502207704,2.946577611574493,0.8268194035127034,0.9084026511442337,0.05305630193472001
single_scene,plus-test-0002,speaker-pair-0,strict,linear_default,18.074770023908876,,,2.4714463056802933,0.026532865276370863
single_scene,plus-test-0002,speaker-pair-0,strict,linear_tuned,19.10111276594629,,,2.4619907774838796,0.02625825022208661
single_scene,plus-test-0002,speaker-pair-0,strict,linear_noise,19.09287648864305,,,2.455425433630044,0.026253119558319615
single_scene,plus-test-0002,speaker-pair-0,strict,adeps_current,6.994419061104577,16.913295431948924,0.15487472215985243,4.944768267958218,0.2896996849215683
single_scene,plus-test-0002,speaker-pair-0,strict,adeps_tuned,12.268297725626944,16.208175914052227,0.24754120457562595,4.005474834570349,0.2413808724285233
single_scene,plus-test-0002,speaker-pair-0,strict,spatial_only,26.490621453655905,3.7343355577367188,0.916866655610069,0.4588388122574876,0.025952466055218826
single_scene,plus-test-0002,speaker-pair-0,strict,consistency_only,20.047422302578493,6.511426843566977,0.7541889999173821,2.452844294105626,0.04610130139555182
single_scene,plus-test-0002,speaker-pair-0,strict,plus,27.563541527619336,3.901897596238026,0.9127401292269237,0.5551543325762579,0.02654508057906509
single_scene,plus-test-0002,speaker-pair-0,strict,plus_no_denoiser,27.905521452168475,3.61236863786954,0.9231887965478794,0.45343848813253695,0.024898781433312568
single_scene,plus-test-0003,speaker-pair-0,strict,linear_default,8.075215933960825,,,3.1928082761131424,0.18860561960618885
single_scene,plus-test-0003,speaker-pair-0,strict,linear_tuned,13.027250385566362,,,3.1899594435881045,0.18871718640080887
single_scene,plus-test-0003,speaker-pair-0,strict,linear_noise,13.021390889301777,,,3.1919120608877054,0.18864102807363003
single_scene,plus-test-0003,speaker-pair-0,strict,adeps_current,2.3547053578404418,8.591025235142753,0.09865801842865522,5.043715521041127,0.24108761036592127
